zincid;molecular_formula;binding_energy;charge;2D;binding_energy AD4;standard deviation
ZINC000762310053;C20H2N6O4;-10,6;0;img/ZINC000762310053.jpg;-5,55;0,15
ZINC000257201247;C25H3N7O7;-11,3;0;img/ZINC000257201247.jpg;-4,46;0,29
ZINC000068766421;C21H3N7O;-10,4;0;img/ZINC000068766421.jpg;-5,7;0,02
ZINC000008990975;C22H3CLN7O;-10,4;0;img/ZINC000008990975.jpg;-5,6;0,11
ZINC001164797961;C20H2CL2F2N7O2;-10,5;0;img/ZINC001164797961.jpg;-7,24;0,3
ZINC001151436029;C19H2N7O7P;-10,2;-1;img/ZINC001151436029.jpg;-3,27;0,07
ZINC001645129939;C18H2N6O4;-10,3;0;img/ZINC001645129939.jpg;-4,05;0,11
ZINC000537878772;C21HN6O5;-10,4;0;img/ZINC000537878772.jpg;-6,08;0,01
ZINC000044307770;C29H5N6O8S;-10,9;-1;img/ZINC000044307770.jpg;;
ZINC000095572130;C24H3N7O;-10,1;0;img/ZINC000095572130.jpg;-6,27;0,14
ZINC000748432698;C19H2N8O5;-10,4;0;img/ZINC000748432698.jpg;-3,05;0,16
ZINC000856403203;C22HN5O7;-10,4;0;img/ZINC000856403203.jpg;-5,06;0,26
ZINC000028566849;C24HF3N8O3;-11,4;0;img/ZINC000028566849.jpg;-5,49;0,25
ZINC000510694150;C16H2N7O5S;-10,4;0;img/ZINC000510694150.jpg;-3;0,19
ZINC000299870913;C27N6O6;-11;0;img/ZINC000299870913.jpg;-6,76;0,35
ZINC000000679452;C24HN6O4;-11,2;0;img/ZINC000000679452.jpg;-6,61;0,07
ZINC001179683802;C19H4N5O9P;-10,8;-1;img/ZINC001179683802.jpg;-4,84;0,21
ZINC000856407608;C19N8O5;-10,4;0;img/ZINC000856407608.jpg;-3,43;0,19
ZINC000299835389;C31H4N6O3;-10,2;0;img/ZINC000299835389.jpg;-6,31;0,31
ZINC000095722624;C38H2N5O6;-10,3;0;img/ZINC000095722624.jpg;-4,58;0,32
ZINC000006899831;C22HN7O;-10,6;0;img/ZINC000006899831.jpg;-6,26;0,39
ZINC000196198837;C43H2N5O8;-10,9;0;img/ZINC000196198837.jpg;-5,31;0,27
ZINC001245889235;C18HN5O2;-10,2;0;img/ZINC001245889235.jpg;-5,74;0,02
ZINC000028564268;C24HN8O4;-10,7;0;img/ZINC000028564268.jpg;-5,99;0,14
ZINC000009716482;C24HN6O3;-10,2;0;img/ZINC000009716482.jpg;-4,82;0,08
ZINC001239803079;C18N4O2;-10,1;0;img/ZINC001239803079.jpg;-6,14;0,08
ZINC000049783678;C33H3N6O2;-10,4;0;img/ZINC000049783678.jpg;-8,25;0,06
ZINC000009211303;C23HCLN6O;-10,6;0;img/ZINC000009211303.jpg;-6,55;0,02
ZINC000111093129;C17H4N8O3;-10,2;0;img/ZINC000111093129.jpg;-4,45;0,2
ZINC000105321482;C21H2CLN6O2;-10,1;0;img/ZINC000105321482.jpg;-5,58;0,03
ZINC000040105284;C21H3N9O4;-10,7;0;img/ZINC000040105284.jpg;-6,63;0,23
ZINC001148539012;C18H4N6O8P;-11,1;-1;img/ZINC001148539012.jpg;-3,27;0,1
ZINC001197707662;C19H2CLN5O3;-10,1;-1;img/ZINC001197707662.jpg;-5,93;0,08
ZINC000124603290;C19H3N5O3;-10,2;0;img/ZINC000124603290.jpg;-5,55;0,13
ZINC000579846033;C21H3N5O6;-10,3;0;img/ZINC000579846033.jpg;-5,19;0,23
ZINC001164673130;C26H2N7O;-10,1;1;img/ZINC001164673130.jpg;-6,88;0,25
ZINC000049792780;C29H5N7O4;-11,4;0;img/ZINC000049792780.jpg;-4,6;0,15
ZINC001180283141;C20H2N6O7P;-11,3;-1;img/ZINC001180283141.jpg;-4,03;0,22
ZINC000073197884;C20H2N5O3;-10,5;0;img/ZINC000073197884.jpg;-6,04;0,09
ZINC000016363719;C18HF3N5O4S;-10,6;0;img/ZINC000016363719.jpg;-6,31;0,32
ZINC000085432954;C21H7N6O15P2;-10,3;-2;img/ZINC000085432954.jpg;-0,78;0,35
ZINC000008591111;C24HN6O3;-10,6;0;img/ZINC000008591111.jpg;-6,54;0,07
ZINC000153201115;C20H3N6O3;-11;0;img/ZINC000153201115.jpg;-5,24;0,1
ZINC000878264425;C23N8O5;-10,5;0;img/ZINC000878264425.jpg;-3,24;0,18
ZINC000013782072;C23H4N5O4;-10,1;0;img/ZINC000013782072.jpg;-5,21;0,36
ZINC000180848466;C19HFN5O3;-10,1;0;img/ZINC000180848466.jpg;-5,58;0,18
ZINC000761474258;C18N9O3;-10,3;0;img/ZINC000761474258.jpg;-5,09;0,04
ZINC000517368427;C19N8O3;-10,3;0;img/ZINC000517368427.jpg;-5,05;0,13
ZINC000109026248;C21H2F3N6O4;-11,3;0;img/ZINC000109026248.jpg;-4,34;0,26
ZINC001186990987;C18H3N5O8P;-10,6;-1;img/ZINC001186990987.jpg;-4,58;0,11
ZINC000257339938;C22H2N7O4;-10,7;0;img/ZINC000257339938.jpg;-5,38;0,17
ZINC000028571949;C20H5IN7O6;-10,4;0;img/ZINC000028571949.jpg;-5,19;0,31
ZINC001170226524;C18H6N8O;-10,4;0;img/ZINC001170226524.jpg;-5,02;0,06
ZINC000113154297;C25H2N10O2;-10,3;0;img/ZINC000113154297.jpg;-4,37;0,13
ZINC000072405867;C28H3N8O2;-11,1;0;img/ZINC000072405867.jpg;-5,97;0,22
ZINC000651483583;C18HFN5O2;-10,1;0;img/ZINC000651483583.jpg;-4,79;0,03
ZINC001178476870;C17H2FN6O7P;-10,7;-1;img/ZINC001178476870.jpg;-3,47;0,11
ZINC000100432763;C21HN7O4;-10,3;0;img/ZINC000100432763.jpg;-5,76;0,2
ZINC001211431420;C17H3FN5O7P;-10,5;-1;img/ZINC001211431420.jpg;-3,89;0,23
ZINC001164967663;C20H2CLF2N6O;-10,6;0;img/ZINC001164967663.jpg;-5,58;0,08
ZINC000008591452;C25N6O;-10,2;0;img/ZINC000008591452.jpg;-6,72;0,04
ZINC000615865663;C20HN7O4;-10,2;0;img/ZINC000615865663.jpg;-4,37;0,27
